FileName,URL,URLLength,Domain,DomainLength,IsDomainIP,TLD,URLSimilarityIndex,CharContinuationRate,TLDLegitimateProb,URLCharProb,TLDLength,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,NoOfLettersInURL,LetterRatioInURL,NoOfDigitsInURL,DigitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpecialCharRatioInURL,IsHTTPS,LineOfCode,LargestLineLength,HasTitle,Title,DomainTitleMatchScore,URLTitleMatchScore,HasFavicon,Robots,IsResponsive,NoOfURLRedirect,NoOfSelfRedirect,HasDescription,NoOfPopup,NoOfiFrame,HasExternalFormSubmit,HasSocialNet,HasSubmitButton,HasHiddenFields,HasPasswordField,Bank,Pay,Crypto,HasCopyrightInfo,NoOfImage,NoOfCSS,NoOfJS,NoOfSelfRef,NoOfEmptyRef,NoOfExternalRef,Label
511153.txt,https://www.medicalplasticsnews.com,34,www.medicalplasticsnews.com,27,0,com,100,1,0.5229071,0.061070397,3,1,0,0,0,21,0.618,0,0,0,0,0,1,0.029,1,1193,2503,1,medicalplasticsnews,100,100,1,0,1,0,0,1,0,3,0,1,1,0,0,0,0,0,1,25,2,20,81,6,94,1
167651.txt,https://www.gitguardian.com,26,www.gitguardian.com,19,0,com,100,1,0.5229071,0.058311271,3,1,0,0,0,13,0.5,0,0,0,0,0,1,0.038,1,3600,17379,1,gitguardian,100,100,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,12,1,16,12,0,17,1
7829706.txt,https://ormvoixregl1.firebaseapp.com/,36,ormvoixregl1.firebaseapp.com,28,0,com,63.42364532,0.541666667,0.5229071,0.056885502,3,1,0,0,0,25,0.694,1,0.028,0,0,0,2,0.056,1,191,2456,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
403727.txt,https://www.crowncenter.com,26,www.crowncenter.com,19,0,com,100,1,0.5229071,0.069816862,3,1,0,0,0,13,0.5,0,0,0,0,0,1,0.038,1,621,868,1,crowncenter,100,100,1,0,1,0,0,1,0,2,0,1,1,0,0,0,0,0,1,18,27,16,79,0,12,1
8000782.txt,http://nmve.xyz/,15,nmve.xyz,8,0,xyz,72.91666667,1,0.0017496,0.034559565,3,0,0,0,0,7,0.467,0,0,0,0,0,1,0.067,0,44,73,1,nmve,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
mw65296.txt,http://www.maytheday.oss-ap-southeast-2.aliyuncs.com,51,www.maytheday.oss-ap-southeast-2.aliyuncs.com,45,0,com,72.68915895,0.297297297,0.5229071,0.05639785,3,3,0,0,0,33,0.647,1,0.02,0,0,0,6,0.118,0,10,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
763204.txt,https://www.dancetheyard.org,27,www.dancetheyard.org,20,0,org,100,1,0.0799628,0.060847774,3,1,0,0,0,14,0.519,0,0,0,0,0,1,0.037,1,2649,15774,1,dancetheyard,100,100,1,0,1,0,0,1,0,1,0,1,1,1,0,0,1,0,0,27,3,14,89,0,22,1
773507.txt,https://www.olly.com,19,www.olly.com,12,0,com,100,1,0.5229071,0.062819271,3,1,0,0,0,6,0.316,0,0,0,0,0,1,0.053,1,11523,3757,1,olly,100,100,1,0,1,0,0,1,0,22,0,1,1,1,1,1,1,0,1,181,7,49,145,3,19,1
38869.txt,https://www.naturalearthdata.com,31,www.naturalearthdata.com,24,0,com,100,1,0.5229071,0.063778944,3,1,0,0,0,18,0.581,0,0,0,0,0,1,0.032,1,534,1820,1,naturalearthdata,100,100,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,42,7,11,53,0,54,1
op190.txt,https://att-104164.weeblysite.com/,34,att-104164.weeblysite.com,25,0,com,66.69538462,0.80952381,0.5229071,0.044095497,3,1,0,0,0,16,0.471,6,0.176,0,0,0,4,0.118,1,68,80,1,att-104164weeblysite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
160785.txt,https://www.frdc.com.au,22,www.frdc.com.au,15,0,au,100,0.625,0.0100856,0.062284949,2,2,0,0,0,8,0.364,0,0,0,0,0,2,0.091,1,4140,1020,1,frdccom,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,1,11,2,4,331,0,11,1
256994.txt,https://www.lukul.sk,19,www.lukul.sk,12,0,sk,100,1,0.0009815,0.03684609,2,1,0,0,0,6,0.316,0,0,0,0,0,1,0.053,1,592,3145,1,lukul,100,100,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,11,25,25,0,29,1
239501.txt,https://www.cityparkapp.pl,25,www.cityparkapp.pl,18,0,pl,100,1,0.0069695,0.045474226,2,1,0,0,0,12,0.48,0,0,0,0,0,1,0.04,1,420,273,1,cityarka,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,18,7,20,80,2,14,1
8053686.txt,http://tkmowpikuk.owl4fsrch.club/vnafvra97w/?q=3717065149&id=100,64,tkmowpikuk.owl4fsrch.club,25,0,club,14.33862939,0.6,0.0006227,0.028541331,4,1,0,0,0,33,0.516,16,0.25,2,1,0,5,0.125,0,2,72,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8089721.txt,https://a04854e8-0cca-4b74-80e6-aacb14a4a5f7.id.repl.co,55,a04854e8-0cca-4b74-80e6-aacb14a4a5f7.id.repl.co,47,0,co,32.81965848,0.227272727,0.0059772,0.036352669,2,2,0,0,0,22,0.4,18,0.327,0,0,0,7,0.127,1,17,665,1,a04854e8-0cca-4b74-80e6-aacb14a4a5f7idrepl,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
825767.txt,https://www.scandlines.dk,24,www.scandlines.dk,17,0,dk,100,1,0.0022943,0.057883109,2,1,0,0,0,11,0.458,0,0,0,0,0,1,0.042,1,2305,6852,1,scanlines,0,0,1,1,1,1,0,1,0,2,0,0,1,0,0,0,0,0,0,60,1,7,74,0,20,1
137501.txt,https://www.hskonline.com,24,www.hskonline.com,17,0,com,100,1,0.5229071,0.062169499,3,1,0,0,0,11,0.458,0,0,0,0,0,1,0.042,1,556,521,1,hskonline,100,100,0,0,1,0,0,1,0,5,0,0,0,1,0,0,0,0,1,39,5,5,41,12,13,1
172246.txt,https://www.nutritioncare.org,28,www.nutritioncare.org,21,0,org,100,1,0.0799628,0.067909274,3,1,0,0,0,15,0.536,0,0,0,0,0,1,0.036,1,740,5927,1,nutritioncare,100,100,0,0,1,0,0,0,0,4,0,1,1,1,0,0,0,0,1,16,3,25,101,1,68,1
890792.txt,https://www.tileandstonejournal.com,34,www.tileandstonejournal.com,27,0,com,100,1,0.5229071,0.063779783,3,1,0,0,0,21,0.618,0,0,0,0,0,1,0.029,1,8418,9458,1,tileandstonejournal,100,100,1,1,1,0,0,1,0,2,0,1,1,1,0,1,0,0,1,48,9,14,208,18,212,1
480933.txt,https://www.c.line-design.fr,27,www.c.line-design.fr,20,0,fr,100,0.538461538,0.0141483,0.055437841,2,2,0,0,0,12,0.444,0,0,0,0,0,3,0.111,1,456,2808,1,cline-design,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,63,3,17,5,2,32,1
507550.txt,https://www.capeblancoheritagesociety.com,40,www.capeblancoheritagesociety.com,33,0,com,100,1,0.5229071,0.065534568,3,1,0,0,0,27,0.675,0,0,0,0,0,1,0.025,1,329,630,1,capeblanheritagesociety,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,1,15,2,10,0,2,9,1
608275.txt,https://www.caterinaperez.com,28,www.caterinaperez.com,21,0,com,100,1,0.5229071,0.067312522,3,1,0,0,0,15,0.536,0,0,0,0,0,1,0.036,1,587,230,1,caterinaperez,100,100,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,3,1,5,186,3,5,1
