FILENAME,URL,URLLength,Domain,DomainLength,IsDomainIP,TLD,URLSimilarityIndex,CharContinuationRate,TLDLegitimateProb,URLCharProb,TLDLength,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,NoOfLettersInURL,LetterRatioInURL,NoOfDegitsInURL,DegitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,IsHTTPS,LineOfCode,LargestLineLength,HasTitle,Title,DomainTitleMatchScore,URLTitleMatchScore,HasFavicon,Robots,IsResponsive,NoOfURLRedirect,NoOfSelfRedirect,HasDescription,NoOfPopup,NoOfiFrame,HasExternalFormSubmit,HasSocialNet,HasSubmitButton,HasHiddenFields,HasPasswordField,Bank,Pay,Crypto,HasCopyrightInfo,NoOfImage,NoOfCSS,NoOfJS,NoOfSelfRef,NoOfEmptyRef,NoOfExternalRef,label
547521.txt,https://www.jewishnevada.org,27,www.jewishnevada.org,20,0,org,100,1,0.0799628,0.054610353,3,1,0,0,0,14,0.519,0,0,0,0,0,1,0.037,1,1358,5892,1,jewishnevada,100,100,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,1,23,3,11,22,4,71,1
8059230.txt,https://webmail-108054.weeblysite.com/,38,webmail-108054.weeblysite.com,29,0,com,55.29924693,0.68,0.5229071,0.044239895,3,1,0,0,0,20,0.526,6,0.158,0,0,0,4,0.105,1,271,20346,1,webmail-108054weeblysite,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,19,3,9,1,0,4,0
8105766.txt,https://bancolombia.comltodo1.repl.co/?305,42,bancolombia.comltodo1.repl.co,29,0,co,48.46267919,0.5,0.0059772,0.057996574,2,2,0,0,0,25,0.595,4,0.095,0,1,0,4,0.119,1,198,869,1,banlombiamltodo1repl?305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
686052.txt,https://www.fallriverdiocese.org,31,www.fallriverdiocese.org,24,0,org,100,1,0.0799628,0.063210858,3,1,0,0,0,18,0.581,0,0,0,0,0,1,0.032,1,1255,12950,1,fallriverdiocese,100,100,0,1,1,0,0,0,0,6,0,1,1,1,0,0,0,0,1,25,58,57,138,3,160,1
mw165772.txt,http://www.lockes.kilu.de,24,www.lockes.kilu.de,18,0,de,59.86394558,0.636363636,0.0326503,0.051215129,2,2,0,0,0,11,0.458,0,0,0,0,0,2,0.083,0,2,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8048319.txt,https://dev-bendevibisan2.pantheonsite.io/,42,dev-bendevibisan2.pantheonsite.io,33,0,io,63.08539945,0.466666667,0.0129268,0.056631076,2,1,0,0,0,29,0.69,1,0.024,0,0,0,4,0.095,1,141,161,1,dev-bendevibisan2pantheonsite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0
8013002.txt,https://freshmood-holding.web.app/,33,freshmood-holding.web.app,25,0,app,48.51692308,0.476190476,0.001502,0.052068188,3,1,0,0,0,22,0.667,0,0,0,0,0,3,0.091,1,16,110,1,freshmood-holdingweb,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
880895.txt,https://www.spatii-de-birouri.ro,31,www.spatii-de-birouri.ro,24,0,ro,100,0.470588235,0.001523,0.058331583,2,1,0,0,0,16,0.516,0,0,0,0,0,3,0.097,1,992,7224,1,spatii-de-bioui,0,0,0,1,1,0,0,1,0,3,0,1,1,1,0,0,0,0,1,2,26,37,117,0,20,1
133906.txt,https://www.raylib.com,21,www.raylib.com,14,0,com,100,1,0.5229071,0.057669262,3,1,0,0,0,8,0.381,0,0,0,0,0,1,0.048,1,252,420,1,raylib,100,100,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,59,1,2,1,1,75,1
7466771.txt,https://cintasejatidrink.com/js/?id=31bd21fc8a4622fe9ebf59bd12a1ac3e=a5ss395023945,81,cintasejatidrink.com,20,0,com,16.74570048,1,0.5229071,0.035232922,3,0,0,0,0,42,0.519,25,0.309,2,1,0,3,0.074,1,2,154,0,0,0,1.470588235,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450337.txt,https://www.hawthorneandmain.com,31,www.hawthorneandmain.com,24,0,com,100,1,0.5229071,0.061959413,3,1,0,0,0,18,0.581,0,0,0,0,0,1,0.032,1,330,5270,1,hawthorneandmain,100,100,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,12,10,20,42,0,50,1
499370.txt,https://www.megforit.com,23,www.megforit.com,16,0,com,100,1,0.5229071,0.06522978,3,1,0,0,0,10,0.435,0,0,0,0,0,1,0.043,1,1174,8047,1,megforit,100,100,0,1,1,0,0,1,1,2,1,1,1,1,0,0,1,0,1,66,20,27,88,1,126,1
mw180348.txt,http://www.gtrafx.com,21,www.gtrafx.com,14,0,com,78.90909091,1,0.5229071,0.053587487,3,1,0,0,0,9,0.429,0,0,0,0,0,1,0.048,0,14,665,1,gtrafx,100,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
oph08838.txt,http://006l5.mjt.lu/lnk/awmaabassqmaaaaaaaaaacmfznwaaaabifsaaaaaabnk-gbkhnaorpeleazwr8mqwvlpopw26qay8ay/1/zcwr76kt0efi0pz-nmuhbq/ahr0chm6ly9pbm1hy29slm1pdgllbmrhb25saw5llmnvbs93ywrvemkvtk9ttkluq0gvbg9naw4ucghwpzkxnji4nxbvchbv,225,006l5.mjt.lu,12,0,lu,4.163779397,0.777777778,0.0002773,0.037558024,2,1,0,0,0,179,0.796,30,0.133,0,0,0,9,0.04,0,4,234,0,0,11.11111111,0.476190476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
596488.txt,https://www.tinastoastytoes.com,30,www.tinastoastytoes.com,23,0,com,100,1,0.5229071,0.067885517,3,1,0,0,0,17,0.567,0,0,0,0,0,1,0.033,1,3029,42531,1,tinastoastytoes,100,100,0,0,1,0,0,1,0,3,0,1,0,1,0,0,1,0,0,25,15,25,165,3,63,1
548486.txt,https://www.oilmillplants.com,28,www.oilmillplants.com,21,0,com,100,1,0.5229071,0.060806499,3,1,0,0,0,15,0.536,0,0,0,0,0,1,0.036,1,649,1122,1,oilmillplants,100,100,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,14,14,11,3,4,18,1
112273.txt,https://www.realsporting.com,27,www.realsporting.com,20,0,com,100,1,0.5229071,0.064319389,3,1,0,0,0,14,0.519,0,0,0,0,0,1,0.037,1,1525,15399,1,realsporting,100,100,1,1,1,0,0,1,0,6,0,1,0,1,0,1,0,0,1,54,12,16,75,54,101,1
134312.txt,https://www.rhdaustralia.org.au,30,www.rhdaustralia.org.au,23,0,au,100,0.8125,0.0100856,0.059105825,2,2,0,0,0,16,0.533,0,0,0,0,0,2,0.067,1,755,9623,1,rhdustrliorg,0,0,1,0,1,0,0,0,0,2,0,1,0,1,0,0,0,0,1,27,25,52,66,0,14,1
104078.txt,https://www.adtheorent.com,25,www.adtheorent.com,18,0,com,100,1,0.5229071,0.068497552,3,1,0,0,0,12,0.48,0,0,0,0,0,1,0.04,1,982,496,1,adtheorent,100,100,1,0,1,0,0,1,0,8,0,1,1,1,0,0,0,0,1,52,6,4,52,4,87,1
mw78049.txt,http://www.sanlorenzoyacht.com,29,www.sanlorenzoyacht.com,23,0,com,100,1,0.5229071,0.063441265,3,1,0,0,0,17,0.586,0,0,0,0,0,1,0.034,0,3,125,1,sanlorenzoyacht,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
8125459.txt,https://cebjiankb1.web.app/,27,cebjiankb1.web.app,18,0,app,54.38596491,0.785714286,0.001502,0.043057738,3,1,0,0,0,15,0.556,1,0.037,0,0,0,3,0.111,1,228,77763,1,cebjiankb1web,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
597567.txt,https://www.maisondebalzac.paris.fr,34,www.maisondebalzac.paris.fr,27,0,fr,100,0.75,0.0141483,0.057523333,2,2,0,0,0,20,0.588,0,0,0,0,0,2,0.059,1,1260,2323,1,maisondebalzacparis,0,0,1,0,1,0,0,1,0,2,1,1,1,0,0,0,0,0,1,48,5,11,106,3,55,1
445855.txt,https://www.ecenica.com,22,www.ecenica.com,15,0,com,100,1,0.5229071,0.0780348,3,1,0,0,0,9,0.409,0,0,0,0,0,1,0.045,1,348,2382,1,ecenica,100,100,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,1,14,11,9,83,0,67,1
mw55425.txt,http://www.melodyz.gq,20,www.melodyz.gq,14,0,gq,73.45454545,1,0.000053,0.046675904,2,1,0,0,0,8,0.4,0,0,0,0,0,1,0.05,0,20,208,1,melodyz,100,100,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8072593.txt,https://www.cosmoswater.in/carta.php,36,www.cosmoswater.in,18,0,in,51.25,1,0.0050842,0.061775216,2,1,0,0,0,21,0.583,0,0,0,0,0,3,0.083,1,15,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
489959.txt,https://www.koreataste.org,25,www.koreataste.org,18,0,org,100,1,0.0799628,0.071067249,3,1,0,0,0,12,0.48,0,0,0,0,0,1,0.04,1,719,9381,1,keataste,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,10,6,9,69,0,75,1
168577.txt,https://www.womankind.org.uk,27,www.womankind.org.uk,20,0,uk,100,0.769230769,0.028555,0.054281386,2,2,0,0,0,13,0.481,0,0,0,0,0,2,0.074,1,1077,8047,1,womankindorg,0,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,1,17,12,19,115,0,119,1
533565.txt,https://www.hiwaay.net,21,www.hiwaay.net,14,0,net,100,1,0.0384199,0.052714546,3,1,0,0,0,8,0.381,0,0,0,0,0,1,0.048,1,1640,9381,1,hiwaay,100,100,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,9,17,28,61,5,72,1
7983682.txt,https://business-meta-appeal-10869215.web.app/,45,business-meta-appeal-10869215.web.app,37,0,app,37.49185575,0.515151515,0.001502,0.041593315,3,1,0,0,0,24,0.533,8,0.178,0,0,0,5,0.111,1,108,8125,1,business-meta-eal-10869215web,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
687228.txt,https://www.lyssn.io,19,www.lyssn.io,12,0,io,100,1,0.0129268,0.04808783,2,1,0,0,0,6,0.316,0,0,0,0,0,1,0.053,1,2539,9381,1,lyssn,100,100,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,42,10,11,89,0,99,1
481312.txt,https://www.montroserestoration.noaa.gov,39,www.montroserestoration.noaa.gov,32,0,gov,100,0.833333333,0.0033282,0.073065147,3,2,0,0,0,25,0.641,0,0,0,0,0,2,0.051,1,513,1820,1,montroserestorationnoaa,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,20,9,15,72,0,96,1
mw54991.txt,http://www.jerodi.cf,19,www.jerodi.cf,13,0,cf,64.19753086,1,0.0001858,0.060851229,2,1,0,0,0,7,0.368,0,0,0,0,0,1,0.053,0,20,207,1,jerodi,100,100,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68745.txt,https://www.okinawatimes.co.jp,29,www.okinawatimes.co.jp,22,0,jp,100,0.866666667,0.0230451,0.061282305,2,2,0,0,0,15,0.517,0,0,0,0,0,2,0.069,1,4056,564,1,okinawatimesco,0,0,1,0,1,0,0,1,0,4,0,1,1,0,0,0,0,0,1,231,1,25,334,0,143,1
7961828.txt,https://dweb.link/ipfs/bafybeicravhhggmaxfjgkrt6zylszmoi5nf33e2qjf5r2uyz6drsnvpj54?filename=index.html,101,dweb.link,9,0,link,9.756736794,1,0.0003306,0.037351802,4,0,0,0,0,77,0.762,10,0.099,1,1,0,4,0.059,1,9,110,1,dwebipfsbafybeicravhhggmaxfjgkrt6zylszmoi5nf33e2qjf5r2uyz6drsnvpj54?filename=indexhtm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242329.txt,https://www.wfa-arnsberg.de,26,www.wfa-arnsberg.de,19,0,de,100,0.75,0.0326503,0.049734447,2,1,0,0,0,12,0.462,0,0,0,0,0,2,0.077,1,2965,945,1,wfa-arnsberg,100,100,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,7,8,4,14,0,22,1
178836.txt,https://www.elsoldepuebla.com.mx,31,www.elsoldepuebla.com.mx,24,0,mx,100,0.823529412,0.0017218,0.061482606,2,2,0,0,0,17,0.548,0,0,0,0,0,2,0.065,1,1988,633,1,elsoldepueblaco,0,0,1,1,1,0,0,1,0,4,0,1,1,1,0,0,0,0,0,72,18,16,135,0,159,1
708428.txt,https://www.arterys.com,22,www.arterys.com,15,0,com,100,1,0.5229071,0.066079896,3,1,0,0,0,9,0.409,0,0,0,0,0,1,0.045,1,1498,17456,1,arterys,100,100,1,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,7,9,17,68,0,79,1
8117837.txt,https://mmbershipswebsite.uscreen.io/,37,mmbershipswebsite.uscreen.io,28,0,io,49.63931827,0.72,0.0129268,0.058947626,2,1,0,0,0,26,0.703,0,0,0,0,0,3,0.081,1,35,231,1,mmbershipswebsiteuscreen,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mw77177.txt,http://www.3444zz.com,20,www.3444zz.com,14,0,com,69.45454545,1,0.5229071,0.023645811,3,1,0,0,0,4,0.2,4,0.2,0,0,0,1,0.05,0,9,11895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
642852.txt,https://www.alexxcosta.com,25,www.alexxcosta.com,18,0,com,100,1,0.5229071,0.063658023,3,1,0,0,0,12,0.48,0,0,0,0,0,1,0.04,1,818,881,1,alexxsta,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,34,6,5,32,2,21,1
mw64108.txt,http://www.wsjworld.com,22,www.wsjworld.com,16,0,com,83.76068376,1,0.5229071,0.049578105,3,1,0,0,0,10,0.455,0,0,0,0,0,1,0.045,0,2,2826,1,wsjworld,100,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
552709.txt,https://www.123newyears.com,26,www.123newyears.com,19,0,com,100,1,0.5229071,0.049312998,3,1,0,0,0,10,0.385,3,0.115,0,0,0,1,0.038,1,384,418,1,123newyears,100,100,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,17,1,8,100,0,108,1
7822279.txt,https://forms.office.com/pages/responsepage.aspx?id=dqsikwdsw0yxejajblztrqaaaaaaaaaaaanaauvucvpuqzngvly2rte2mfbws0u5rdnyredwte9rmi4u,131,forms.office.com,16,0,com,13.0830385,0.583333333,0.5229071,0.047676259,3,1,0,0,0,109,0.832,7,0.053,1,1,0,5,0.053,1,179,24085,1,formsofficepagesresponsepageaspx?id=dqsikwdsw0yxejajblztrqaaaaaaaaaaaanaauvucvpuqzngvly2rte2mfbws0u5rdnyredwte9rmi4,0,0,1,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,2,8,1,0,3,0
130907.txt,https://www.irsss.ca,19,www.irsss.ca,12,0,ca,100,1,0.0101825,0.060842044,2,1,0,0,0,6,0.316,0,0,0,0,0,1,0.053,1,773,453,1,irsss,100,100,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,15,8,20,32,1,14,1
8037773.txt,http://xvitbrqlub.temp.swtest.ru/www.sfr.fr-login-return_url/index.html,71,xvitbrqlub.temp.swtest.ru,25,0,ru,13.49362477,0.5,0.0180132,0.044871108,2,2,0,0,0,50,0.704,0,0,0,0,0,10,0.141,0,120,143897,1,xvitbrqlubtempswtestsfrfr-login-return_urlindexhtml,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0
579577.txt,https://www.sprwmn.com,21,www.sprwmn.com,14,0,com,100,1,0.5229071,0.056008172,3,1,0,0,0,8,0.381,0,0,0,0,0,1,0.048,1,3124,6605,1,sprwmn,100,100,1,0,1,1,0,1,0,19,0,1,1,1,1,1,1,0,1,23,6,38,217,0,22,1
727803.txt,https://www.heiwajima.gr.jp,26,www.heiwajima.gr.jp,19,0,jp,100,0.833333333,0.0230451,0.048107015,2,2,0,0,0,12,0.462,0,0,0,0,0,2,0.077,1,839,422,1,heiwaimagr,0,0,0,0,1,0,0,1,0,13,0,1,0,0,0,0,0,0,0,46,4,16,95,0,23,1
43089.txt,https://www.karlsruhe.de,23,www.karlsruhe.de,16,0,de,100,1,0.0326503,0.049558583,2,1,0,0,0,10,0.435,0,0,0,0,0,1,0.043,1,10666,3155,1,karlsruhe,100,100,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,146,5,5,821,11,104,1
mw81593.txt,http://www.oogle.info,21,www.oogle.info,14,0,info,69.81818182,1,0.0075051,0.067047438,4,1,0,0,0,9,0.429,0,0,0,0,0,1,0.048,0,2,2826,1,oogle,100,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
539646.txt,https://www.properfood.ie,24,www.properfood.ie,17,0,ie,100,1,0.0015878,0.061727451,2,1,0,0,0,11,0.458,0,0,0,0,0,1,0.042,1,788,9381,1,properfood,100,100,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,26,13,22,64,1,88,1
8015169.txt,https://acesso-simpleficado-cliente.com/luiza/?userid=13&uri=mijcf+vdy/jlbwraamw/pepgutjeo/609lb55ozqcuw=,104,acesso-simpleficado-cliente.com,31,0,com,13.56517099,0.481481481,0.5229071,0.048016644,3,0,0,0,0,76,0.731,7,0.067,2,1,0,10,0.125,1,90,394,1,acesso-simpleficado-clienteluiza?userid=13&uri=mijcf+vdyjlbwraamwpepgutjeo609lb55ozqcuw,0,98.86363636,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,2,0,2,0
556780.txt,https://www.chronicle1909.com,28,www.chronicle1909.com,21,0,com,100,1,0.5229071,0.0511825,3,1,0,0,0,11,0.393,4,0.143,0,0,0,1,0.036,1,1027,9381,1,chronicle1909,100,100,0,1,1,0,0,1,0,1,0,1,1,1,1,0,1,0,1,32,10,21,147,1,153,1
654910.txt,https://www.maketimetocuddle.com,31,www.maketimetocuddle.com,24,0,com,100,1,0.5229071,0.063800713,3,1,0,0,0,18,0.581,0,0,0,0,0,1,0.032,1,290,1871,1,maketimetocuddle,100,100,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,25,8,21,79,0,83,1
443607.txt,https://www.lamadeguido.com,26,www.lamadeguido.com,19,0,com,100,1,0.5229071,0.062958488,3,1,0,0,0,13,0.5,0,0,0,0,0,1,0.038,1,506,309,1,lamadeguido,100,100,0,0,0,0,0,1,0,2,0,1,1,1,0,0,0,0,1,3,0,1,0,0,9,1
517250.txt,https://www.jmi.edu.jo,21,www.jmi.edu.jo,14,0,jo,100,0.571428571,0.0000594,0.041130314,2,2,0,0,0,7,0.333,0,0,0,0,0,2,0.095,1,1707,5974,1,miedu,0,0,1,0,1,0,0,0,0,6,0,1,0,1,0,0,0,0,1,32,12,17,164,1,47,1
625913.txt,https://www.shipmyride.com,25,www.shipmyride.com,18,0,com,100,1,0.5229071,0.055271364,3,1,0,0,0,12,0.48,0,0,0,0,0,1,0.04,1,617,3053,1,shipmyride,100,100,1,0,1,1,0,1,1,4,0,1,1,0,0,0,0,0,1,16,5,11,12,4,16,1
8004443.txt,http://vinted-pl-gj32d.lanru.top/authorize/1662975258698217,58,vinted-pl-gj32d.lanru.top,25,0,top,18.05814332,0.428571429,0.0002752,0.031838033,3,1,0,0,0,28,0.483,17,0.293,0,0,0,6,0.103,0,2,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8103133.txt,https://bio.site/metaformcustomerservice.com,44,bio.site,8,0,site,40.00230672,1,0.0017656,0.066443255,4,0,0,0,0,33,0.75,0,0,0,0,0,3,0.068,1,3332,444703,1,biometaformcustomerservicecom,0,0,0,0,1,0,0,0,0,9,0,1,0,0,0,1,1,0,0,5,0,2,3,0,14,0
122225.txt,https://www.worldfutureenergysummit.com,38,www.worldfutureenergysummit.com,31,0,com,100,1,0.5229071,0.055144991,3,1,0,0,0,25,0.658,0,0,0,0,0,1,0.026,1,4167,7472,1,worldfutureenergysummit,100,100,1,0,1,0,0,1,0,3,0,1,0,0,0,0,0,0,0,47,30,35,130,0,46,1
8067427.txt,https://adcmnaisera.com/all/login.php,37,adcmnaisera.com,15,0,com,38.83472057,1,0.5229071,0.060387295,3,0,0,0,0,25,0.676,0,0,0,0,0,4,0.108,1,218,20455,1,adcmnaiseraallloginphp,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,3,6,0,0,6,0
7447324.txt,http://167.71.45.12/staticwp-paydayjv/wp/21281-jaysleftist.info,62,167.71.45.12,12,1,12,12.88377193,0.444444444,0,0.030595073,2,2,0,0,0,32,0.516,14,0.226,0,0,0,9,0.145,0,11,72,1,1677145staticwp-paydayjvwp281-jaysleftistinf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
8095181.txt,http://sksfishtrading.com/public/,33,sksfishtrading.com,18,0,com,56.86153846,1,0.5229071,0.050354475,3,0,0,0,0,23,0.697,0,0,0,0,0,3,0.091,0,21,103,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
8066186.txt,http://dev-atencion-y-servicios-itau24hrs.pantheonsite.io,57,dev-atencion-y-servicios-itau24hrs.pantheonsite.io,50,0,io,28.41098039,0.319148936,0.0129268,0.059033884,2,1,0,0,0,42,0.737,2,0.035,0,0,0,6,0.105,0,9,65,1,dev-atencn-y-servics-itau24hrspantheonsite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
553023.txt,https://www.3ivx.com,19,www.3ivx.com,12,0,com,100,1,0.5229071,0.042367869,3,1,0,0,0,5,0.263,1,0.053,0,0,0,1,0.053,1,620,363,1,3ivx,100,100,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,11,1,0,8,0,62,1
76671.txt,https://www.ourchildrenstrust.org,32,www.ourchildrenstrust.org,25,0,org,100,1,0.0799628,0.058859457,3,1,0,0,0,19,0.594,0,0,0,0,0,1,0.031,1,1410,14098,1,ourchildrenstrust,100,100,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,13,4,15,72,1,24,1
468973.txt,https://www.accademia.org,24,www.accademia.org,17,0,org,100,1,0.0799628,0.072671162,3,1,0,0,0,11,0.458,0,0,0,0,0,1,0.042,1,471,8047,1,accademia,100,100,1,1,0,1,1,1,2,5,0,1,0,1,0,0,0,0,1,23,18,38,67,0,90,1
146628.txt,https://www.isgtw.org,20,www.isgtw.org,13,0,org,100,1,0.0799628,0.053938364,3,1,0,0,0,7,0.35,0,0,0,0,0,1,0.05,1,236,1034,1,isgtw,100,100,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,4,0,3,8,0,9,1
8026491.txt,https://www.compoundprotocolstaking.com/,39,www.compoundprotocolstaking.com,31,0,com,63.21771507,1,0.5229071,0.06319376,3,1,0,0,0,26,0.667,0,0,0,0,0,1,0.026,1,2,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
482457.txt,https://www.folkfibers.com,25,www.folkfibers.com,18,0,com,100,1,0.5229071,0.054941372,3,1,0,0,0,12,0.48,0,0,0,0,0,1,0.04,1,1063,2675,1,folkfibers,100,100,1,0,0,1,0,1,0,19,0,1,1,0,1,1,1,0,1,12,2,20,34,0,13,1
38742.txt,https://www.gurobi.com,21,www.gurobi.com,14,0,com,100,1,0.5229071,0.060736177,3,1,0,0,0,8,0.381,0,0,0,0,0,1,0.048,1,5053,8047,1,gurobi,100,100,0,1,1,0,0,0,2,55,0,1,1,1,0,1,0,0,1,97,50,62,157,10,112,1
58860.txt,https://www.subtraction.com,26,www.subtraction.com,19,0,com,100,1,0.5229071,0.064252716,3,1,0,0,0,13,0.5,0,0,0,0,0,1,0.038,1,1108,9381,1,subtraction,100,100,0,1,1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,16,3,13,182,1,384,1
663017.txt,https://www.thepathtopartnership.com,35,www.thepathtopartnership.com,28,0,com,100,1,0.5229071,0.058500099,3,1,0,0,0,22,0.629,0,0,0,0,0,1,0.029,1,2143,747,1,thepathtopartnership,100,100,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,17,12,18,20,5,15,1
mw78225.txt,http://www.fredrikarnell.com,27,www.fredrikarnell.com,21,0,com,77.08573626,1,0.5229071,0.059306952,3,1,0,0,0,15,0.556,0,0,0,0,0,1,0.037,0,34,134,1,fredrikarnell,100,100,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0
169009.txt,https://www.hugin.com,20,www.hugin.com,13,0,com,100,1,0.5229071,0.054286917,3,1,0,0,0,7,0.35,0,0,0,0,0,1,0.05,1,874,24685,1,hugin,100,100,0,0,1,0,0,0,12,1,0,1,1,1,1,1,1,0,0,8,28,25,100,20,131,1
oph00619.txt,http://2472346.ag483638.web.hosting-test.net/7a7a664c75c6d6e/region.php,71,2472346.ag483638.web.hosting-test.net,37,0,net,17.28290264,0.454545455,0.0384199,0.035761434,3,3,0,0,0,34,0.479,22,0.31,0,0,0,8,0.113,0,89,130,1,2472346ag483638webhosting-test7a7a664c75c6d6eregionphp,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
768769.txt,https://www.sos-parents-japan.org,32,www.sos-parents-japan.org,25,0,org,100,0.470588235,0.0799628,0.062101764,3,1,0,0,0,17,0.531,0,0,0,0,0,3,0.094,1,788,11199,1,sos-parents-japan,100,100,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,5,7,6,150,0,198,1
mw31j26083.txt,https://www.wsdownloads.cn,25,www.wsdownloads.cn,18,0,cn,69.43933824,1,0.0033218,0.054404628,2,1,0,0,0,12,0.48,0,0,0,0,0,1,0.04,1,13,88,1,wsdownloads,100,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
mw179686.txt,http://www.nbb7fbcedacadc07ba08cde3aa57f5df01.ws,48,www.nbb7fbcedacadc07ba08cde3aa57f5df01.ws,41,0,ws,22.07527584,0.352941176,0.0003477,0.035295893,2,1,0,0,0,25,0.521,11,0.229,0,0,0,1,0.021,0,13,244,1,nbb7fbcedacadc07ba08cde3aa57f5df01,100,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
877518.txt,https://www.creebba.org.ar,25,www.creebba.org.ar,18,0,ar,100,0.727272727,0.0020445,0.065035773,2,2,0,0,0,11,0.44,0,0,0,0,0,2,0.08,1,1240,4651,1,creebborg,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,47,10,12,1,0,23,1
